type	sample_name	sample_description	mafFile	files	chrPhased	genePhased	phasingConf	gvcfServerPath
GVCF	ASM411538v1	PublicNCBI_domestica	Unused	ASM411538v1.gvcf.gz	TRUE	TRUE	0.9	mattwie.se;/unused
GVCF	PFR_Mdom_1.0	PublicNCBI_domestica	Unused	PFR_Mdom_1.0.gvcf.gz	TRUE	TRUE	0.9	mattwie.se;/unused
GVCF	Malus_domestica_Gala.pri	PublicNCBI_domestica	Unused	Malus_domestica_Gala.pri.gvcf.gz	TRUE	TRUE	0.9	mattwie.se;/unused
GVCF	Malus_domestica_Gala.altA	PublicNCBI_domestica	Unused	Malus_domestica_Gala.altA.gvcf.gz	TRUE	TRUE	0.9	mattwie.se;/unused
GVCF	Malus_domestica_Gala.altB	PublicNCBI_domestica	Unused	Malus_domestica_Gala.altB.gvcf.gz	TRUE	TRUE	0.9	mattwie.se;/unused
GVCF	drMalDome10.2	PublicNCBI_domestica	Unused	drMalDome10.2.gvcf.gz	TRUE	TRUE	0.9	mattwie.se;/unused
GVCF	drMalDome11.2	PublicNCBI_domestica	Unused	drMalDome11.2.gvcf.gz	TRUE	TRUE	0.9	mattwie.se;/unused
GVCF	drMalDome58.3	PublicNCBI_domestica	Unused	drMalDome58.3.gvcf.gz	TRUE	TRUE	0.9	mattwie.se;/unused
GVCF	drMalDome5.3	PublicNCBI_domestica	Unused	drMalDome5.3.gvcf.gz	TRUE	TRUE	0.9	mattwie.se;/unused
GVCF	ASM2079583v1	PublicNCBI_sieversii	Unused	ASM2079583v1.gvcf.gz	TRUE	TRUE	0.9	mattwie.se;/unused
GVCF	Malus_sieversii.pri	PublicNCBI_sieversii	Unused	Malus_sieversii.pri.gvcf.gz	TRUE	TRUE	0.9	mattwie.se;/unused
GVCF	Malus_sieversii.altA	PublicNCBI_sieversii	Unused	Malus_sieversii.altA.gvcf.gz	TRUE	TRUE	0.9	mattwie.se;/unused
GVCF	Malus_sieversii.altB	PublicNCBI_sieversii	Unused	Malus_sieversii.altB.gvcf.gz	TRUE	TRUE	0.9	mattwie.se;/unused
GVCF	drMalSylv7.2	PublicNCBI_sylvestris	Unused	drMalSylv7.2.gvcf.gz	TRUE	TRUE	0.9	mattwie.se;/unused
GVCF	drMalSylv7.3	PublicNCBI_sylvestris	Unused	drMalSylv7.3.gvcf.gz	TRUE	TRUE	0.9	mattwie.se;/unused
GVCF	Malus_sylvestris.pri	PublicNCBI_sylvestris	Unused	Malus_sylvestris.pri.gvcf.gz	TRUE	TRUE	0.9	mattwie.se;/unused
GVCF	Malus_sylvestris.altA	PublicNCBI_sylvestris	Unused	Malus_sylvestris.altA.gvcf.gz	TRUE	TRUE	0.9	mattwie.se;/unused
GVCF	Malus_sylvestris.altB	PublicNCBI_sylvestris	Unused	Malus_sylvestris.altB.gvcf.gz	TRUE	TRUE	0.9	mattwie.se;/unused
