chr	start	end	type	nhaps
1	1	93831	intergenic	17
1	93832	95462	genic	17
1	93832	95462	genic-original	17
1	95463	152012	intergenic	17
1	152013	153015	genic	17
1	152013	153015	genic-original	17
1	153016	193039	intergenic	16
1	193040	218040	intergenic	17
1	218041	243041	intergenic	17
1	243042	293041	intergenic	17
1	293042	318042	intergenic	16
1	318043	343043	intergenic	17
1	343044	383067	intergenic	16
1	383068	384672	genic	16
1	383068	389484	genic-original	18
1	384673	386276	genic	17
1	386277	387880	genic	18
1	387881	389484	genic	16
1	389485	432774	intergenic	17
1	432775	457775	intergenic	17
1	457776	482776	intergenic	12
1	482777	582778	intergenic	15
1	582779	607779	intergenic	15
1	607780	632780	intergenic	15
1	632781	683972	intergenic	18
1	683973	726073	intergenic	14
1	726074	727826	genic	11
1	726074	729578	genic-original	12
1	727827	729578	genic	11
1	729579	732475	intergenic	10
1	732476	734672	genic	9
1	732476	734672	genic-original	9
1	734673	772537	intergenic	15
1	772538	803858	intergenic	14
1	803859	853858	intergenic	13
1	853859	878859	intergenic	13
1	878860	923045	intergenic	13
1	923046	924808	genic	8
1	923046	926570	genic-original	10
1	924809	926570	genic	8
1	926571	952050	intergenic	11
1	952051	955652	genic	9
1	952051	955652	genic-original	9
1	955653	983957	intergenic	13
1	983958	1008958	intergenic	11
1	1008959	1059958	intergenic	16
1	1059959	1084959	intergenic	14
1	1084960	1114265	intergenic	14
1	1114266	1116039	genic	10
1	1114266	1117812	genic-original	12
1	1116040	1117812	genic	10
1	1117813	1126331	intergenic	12
1	1126332	1130495	genic	9
1	1126332	1130495	genic-original	9
1	1130496	1159024	intergenic	12
1	1159025	1159514	genic	18
1	1159025	1159514	genic-original	18
1	1159515	1201541	intergenic	18
1	1201542	1202469	genic	18
1	1201542	1202469	genic-original	18
1	1202470	1250611	intergenic	16
1	1250612	1252075	genic	7
1	1250612	1256465	genic-original	11
1	1252076	1253538	genic	8
1	1253539	1255002	genic	8
1	1255003	1256465	genic	10
1	1256466	1269378	intergenic	12
1	1269379	1271244	genic	9
1	1269379	1271244	genic-original	9
1	1271245	1312117	intergenic	10
1	1312118	1313709	genic	9
1	1312118	1315301	genic-original	10
1	1313710	1315301	genic	7
1	1315302	1403531	intergenic	18
1	1403532	1404762	genic	7
1	1403532	1408452	genic-original	11
1	1404763	1405992	genic	4
1	1405993	1407222	genic	7
1	1407223	1408452	genic	7
